year,month,rank_GPA,nstocks,ret_vw
1970,11,10,201,4.2984
1970,12,1,151,7.3562
1970,12,2,134,7.0382
1970,12,3,172,6.0514
1970,12,4,177,5.2009
1970,12,5,204,6.9573
1970,12,6,170,7.4770
1970,12,7,197,6.6494
1970,12,8,200,5.6348
1970,12,9,184,5.8584
1970,12,10,201,5.0057
1971,1,1,147,5.2363
1971,1,2,133,3.6108
1971,1,3,172,6.4280
1971,1,4,178,3.8522
1971,1,5,204,3.7094
1971,1,6,170,7.9447
1971,1,7,196,4.8855
1971,1,8,200,5.3337
1971,1,9,184,4.0558
1971,1,10,201,4.4451
1971,2,1,147,-0.6740
1971,2,2,132,-1.7627
1971,2,3,172,-0.5802
1971,2,4,178,4.0393
1971,2,5,204,2.0184
1971,2,6,170,2.1894
1971,2,7,194,2.2044
1971,2,8,200,1.9656
1971,2,9,183,3.4343
1971,2,10,199,2.8244
1971,3,1,146,3.6906
1971,3,2,132,3.8694
1971,3,3,172,1.6481
1971,3,4,178,3.8574
1971,3,5,203,2.9299
1971,3,6,170,6.2720
1971,3,7,194,3.6276
1971,3,8,200,5.6930
1971,3,9,182,5.9884
1971,3,10,199,5.5544
1971,4,1,146,-0.8266
1971,4,2,132,-0.8099
1971,4,3,172,3.9496
1971,4,4,177,2.2223
1971,4,5,202,6.1087
1971,4,6,170,7.0223
1971,4,7,193,6.6171
1971,4,8,199,4.9398
1971,4,9,182,2.4515
1971,4,10,198,2.5026
1971,5,1,146,-4.4161
1971,5,2,131,-2.7397
1971,5,3,171,-5.6414
1971,5,4,176,-3.3502
1971,5,5,201,-4.2854
1971,5,6,170,-4.1209
1971,5,7,192,-3.8551
1971,5,8,200,-0.6147
1971,5,9,182,-1.7464
1971,5,10,197,-4.0110
1971,6,1,145,2.9327
1971,6,2,130,1.8939
1971,6,3,171,-0.3319
1971,6,4,175,-0.5834
1971,6,5,201,-0.9774
1971,6,6,169,0.8283
1971,6,7,190,-1.8932
1971,6,8,199,-1.2448
1971,6,9,182,3.8031
1971,6,10,196,0.8672
1971,7,1,160,-4.0293
1971,7,2,146,-4.2498
1971,7,3,159,-4.8588
1971,7,4,179,-3.4265
1971,7,5,198,-2.5927
1971,7,6,197,-6.2106
1971,7,7,205,-5.0598
1971,7,8,175,-5.2226
1971,7,9,219,-4.6296
1971,7,10,210,-3.4842
1971,8,1,159,0.8699
1971,8,2,146,0.2394
1971,8,3,159,2.4404
1971,8,4,179,5.7916
1971,8,5,198,2.0255
1971,8,6,197,7.2195
1971,8,7,204,7.4460
1971,8,8,175,6.1270
1971,8,9,219,5.4583
1971,8,10,209,3.5783
1971,9,1,159,-1.6359
1971,9,2,145,-3.2923
1971,9,3,159,-1.5740
1971,9,4,179,-1.3791
1971,9,5,198,-0.8628
1971,9,6,196,0.2781
1971,9,7,204,-0.7213
1971,9,8,175,1.6127
1971,9,9,219,-0.1775
1971,9,10,209,1.4085
1971,10,1,159,-0.6179
1971,10,2,145,-2.6605
1971,10,3,159,-3.9534
1971,10,4,178,-6.3777
1971,10,5,198,-4.5987
